segm_idx,collection,tablet_CDLI,view_desc,mzl_label,train_label,bbox,relative_bbox
0,train,VAT13604Vs,Obv,859,1,"[1995, 423, 2139, 573]","[1513, 283, 1657, 433]"
0,train,VAT13604Vs,Obv,1,2,"[2128, 434, 2208, 545]","[1646, 294, 1726, 405]"
0,train,VAT13604Vs,Obv,495,3,"[2202, 436, 2472, 572]","[1720, 296, 1990, 432]"
0,train,VAT13604Vs,Obv,110,4,"[2407, 412, 2693, 586]","[1925, 272, 2211, 446]"
0,train,VAT13604Vs,Obv,248,5,"[2824, 425, 3134, 571]","[2342, 285, 2652, 431]"
0,train,VAT13604Vs,Obv,110,4,"[3039, 379, 3255, 557]","[2557, 239, 2773, 417]"
0,train,VAT13604Vs,Obv,248,5,"[1722, 541, 2039, 675]","[1240, 401, 1557, 535]"
0,train,VAT13604Vs,Obv,134,6,"[1946, 534, 2231, 684]","[1464, 394, 1749, 544]"
0,train,VAT13604Vs,Obv,141,7,"[2187, 548, 2411, 696]","[1705, 408, 1929, 556]"
0,train,VAT13604Vs,Obv,111,8,"[2403, 548, 2674, 698]","[1921, 408, 2192, 558]"
0,train,VAT13604Vs,Obv,733,9,"[2728, 553, 3100, 699]","[2246, 413, 2618, 559]"
0,train,VAT13604Vs,Obv,869,10,"[3025, 577, 3191, 689]","[2543, 437, 2709, 549]"
0,train,VAT13604Vs,Obv,839,11,"[3195, 572, 3367, 704]","[2713, 432, 2885, 564]"
0,train,VAT13604Vs,Obv,686,12,"[1073, 666, 1336, 813]","[591, 526, 854, 673]"
0,train,VAT13604Vs,Obv,552,13,"[1329, 662, 1581, 819]","[847, 522, 1099, 679]"
0,train,VAT13604Vs,Obv,748,14,"[1584, 677, 1748, 805]","[1102, 537, 1266, 665]"
0,train,VAT13604Vs,Obv,514,15,"[1736, 666, 2171, 799]","[1254, 526, 1689, 659]"
0,train,VAT13604Vs,Obv,661,16,"[2121, 652, 2247, 792]","[1639, 512, 1765, 652]"
0,train,VAT13604Vs,Obv,495,3,"[2276, 695, 2600, 801]","[1794, 555, 2118, 661]"
0,train,VAT13604Vs,Obv,112,17,"[2807, 695, 3064, 804]","[2325, 555, 2582, 664]"
0,train,VAT13604Vs,Obv,589,18,"[3052, 676, 3322, 819]","[2570, 536, 2840, 679]"
0,train,VAT13604Vs,Obv,498,19,"[3285, 698, 3500, 824]","[2803, 558, 3018, 684]"
0,train,VAT13604Vs,Obv,127,20,"[701, 883, 961, 1066]","[219, 743, 479, 926]"
0,train,VAT13604Vs,Obv,127,20,"[912, 859, 1176, 1028]","[430, 719, 694, 888]"
